pixel,wavelength_nm_reported,raman_shift_reported_cm-1,counts_pixel_file,counts_nm2_file,counts_wavenumber_file,counts_nm_file_weak
0,789.882,77.3545,0.0,0.0,0.0,0.0
1,790.079,80.4019,382.0,388.0,378.0,360.0
2,790.277,83.4475,382.0,370.0,370.0,346.0
3,790.475,86.4914,359.0,347.0,371.0,328.0
4,790.673,89.5335,366.0,354.0,379.0,338.0
5,790.87,92.5738,357.0,348.0,361.0,326.0
6,791.068,95.6123,351.0,339.0,358.0,312.0
7,791.265,98.6491,350.0,348.0,363.0,311.0
8,791.463,101.684,349.0,358.0,367.0,320.0
9,791.66,104.717,358.0,356.0,362.0,337.0
10,791.858,107.749,367.0,355.0,362.0,338.0
11,792.055,110.779,351.0,342.0,360.0,319.0
12,792.252,113.806,325.0,337.0,330.0,313.0
13,792.449,116.833,331.0,350.0,332.0,329.0
14,792.647,119.857,344.0,355.0,352.0,330.0
15,792.844,122.88,344.0,347.0,345.0,322.0
16,793.041,125.901,341.0,339.0,342.0,324.0
17,793.238,128.92,340.0,341.0,349.0,324.0
18,793.435,131.937,335.0,343.0,356.0,318.0
19,793.632,134.953,348.0,355.0,361.0,331.0
20,793.829,137.967,362.0,373.0,368.0,345.0
21,794.025,140.979,351.0,348.0,364.0,323.0
22,794.222,143.989,353.0,341.0,363.0,316.0
23,794.419,146.998,357.0,341.0,368.0,323.0
24,794.616,150.004,367.0,358.0,370.0,340.0
25,794.812,153.01,401.0,389.0,359.0,333.0
26,795.009,156.013,433.0,407.0,374.0,319.0
27,795.205,159.014,461.0,438.0,400.0,322.0
28,795.402,162.014,488.0,432.0,404.0,319.0
29,795.598,165.012,493.0,421.0,411.0,305.0
30,795.794,168.009,488.0,424.0,435.0,314.0
31,795.991,171.003,453.0,391.0,426.0,321.0
32,796.187,173.996,419.0,359.0,394.0,302.0
33,796.383,176.987,401.0,344.0,388.0,308.0
34,796.579,179.976,377.0,331.0,378.0,318.0
35,796.775,182.964,372.0,346.0,376.0,334.0
36,796.972,185.95,358.0,346.0,364.0,321.0
37,797.168,188.934,352.0,340.0,348.0,309.0
38,797.364,191.916,343.0,328.0,340.0,315.0
39,797.559,194.897,330.0,309.0,330.0,301.0
40,797.755,197.876,328.0,317.0,331.0,301.0
41,797.951,200.853,324.0,319.0,330.0,287.0
42,798.147,203.828,330.0,324.0,343.0,283.0
43,798.343,206.802,323.0,332.0,343.0,293.0
44,798.538,209.774,326.0,338.0,339.0,300.0
45,798.734,212.744,336.0,341.0,341.0,306.0
46,798.929,215.713,318.0,330.0,323.0,298.0
47,799.125,218.679,315.0,331.0,326.0,308.0
48,799.32,221.644,321.0,328.0,339.0,309.0
49,799.516,224.607,299.0,302.0,325.0,290.0
50,799.711,227.569,312.0,318.0,325.0,299.0
51,799.906,230.529,336.0,331.0,333.0,306.0
52,800.102,233.487,324.0,318.0,307.0,296.0
53,800.297,236.443,336.0,340.0,311.0,290.0
54,800.492,239.398,349.0,348.0,338.0,295.0
55,800.687,242.351,368.0,348.0,348.0,300.0
56,800.882,245.302,399.0,379.0,361.0,309.0
57,801.077,248.251,398.0,391.0,362.0,303.0
58,801.272,251.199,421.0,388.0,360.0,290.0
59,801.467,254.145,468.0,422.0,399.0,317.0
60,801.662,257.089,496.0,443.0,432.0,333.0
61,801.857,260.031,541.0,442.0,454.0,329.0
62,802.051,262.972,570.0,450.0,471.0,318.0
63,802.246,265.911,555.0,459.0,470.0,298.0
64,802.441,268.849,533.0,445.0,472.0,296.0
65,802.635,271.784,510.0,429.0,454.0,307.0
66,802.83,274.718,477.0,404.0,422.0,319.0
67,803.024,277.65,427.0,365.0,395.0,323.0
68,803.219,280.581,371.0,355.0,377.0,306.0
69,803.413,283.51,341.0,360.0,375.0,307.0
70,803.608,286.437,329.0,336.0,356.0,309.0
71,803.802,289.362,325.0,321.0,338.0,298.0
72,803.996,292.285,324.0,331.0,331.0,291.0
73,804.19,295.207,332.0,336.0,321.0,292.0
74,804.385,298.128,336.0,329.0,307.0,288.0
75,804.579,301.046,328.0,321.0,314.0,294.0
76,804.773,303.963,352.0,347.0,348.0,318.0
77,804.967,306.878,364.0,355.0,344.0,316.0
78,805.161,309.791,356.0,337.0,343.0,312.0
79,805.355,312.703,379.0,373.0,372.0,327.0
80,805.549,315.613,370.0,365.0,344.0,316.0
81,805.742,318.521,355.0,342.0,328.0,299.0
82,805.936,321.427,359.0,370.0,346.0,312.0
83,806.13,324.332,341.0,371.0,340.0,308.0
84,806.323,327.235,361.0,376.0,361.0,316.0
85,806.517,330.137,387.0,367.0,360.0,307.0
86,806.711,333.036,354.0,345.0,336.0,299.0
87,806.904,335.934,337.0,350.0,350.0,312.0
88,807.098,338.831,362.0,352.0,356.0,299.0
89,807.291,341.725,387.0,364.0,358.0,319.0
90,807.484,344.618,397.0,369.0,364.0,325.0
91,807.678,347.509,373.0,350.0,348.0,292.0
92,807.871,350.399,366.0,345.0,351.0,288.0
93,808.064,353.287,396.0,372.0,367.0,307.0
94,808.257,356.173,418.0,404.0,361.0,307.0
95,808.451,359.057,419.0,383.0,345.0,291.0
96,808.644,361.94,443.0,391.0,365.0,303.0
97,808.837,364.821,482.0,419.0,414.0,316.0
98,809.03,367.7,517.0,439.0,432.0,305.0
99,809.223,370.578,595.0,502.0,450.0,309.0
100,809.415,373.454,762.0,604.0,534.0,326.0
101,809.608,376.328,1161.0,880.0,722.0,319.0
