raman_shift_reported_cm-1,rep1,rep2,rep3
0.764,1639.78858,1752.49612,1868.19226
4.975,1313.06103,1386.34577,1492.19602
9.182,1097.17117,1145.7122,1233.05925
13.386,912.45811,971.06239,1045.13384
17.586,782.67011,819.94688,899.25306
21.783,660.72526,688.34419,763.82985
25.977,549.44289,578.4713,623.77429
30.167,458.88465,476.24176,525.16825
34.353,375.36791,393.53036,436.21934
38.536,325.45895,342.81667,380.87761
42.716,287.22111,304.57899,333.78533
46.892,259.04584,275.59884,299.77413
51.064,240.93297,254.46725,278.84392
55.234,236.50533,249.23461,276.02633
59.399,236.70666,261.5111,295.14528
63.562,258.64316,285.66122,325.33266
67.721,289.03217,325.50873,375.84583
71.876,322.43968,374.00946,427.76706
76.028,381.80777,446.6588,505.44638
80.177,494.10123,584.70852,668.44665
84.322,682.05344,833.62661,958.60816
88.464,911.44905,1153.1534,1310.91896
92.602,1112.86049,1399.81886,1585.13476
96.737,1196.96383,1519.52499,1721.3306
100.868,1149.47843,1461.98417,1658.15996
104.997,1050.28167,1303.24245,1504.65752
109.121,932.7741,1157.97736,1315.94318
113.243,850.27461,1043.49082,1202.06526
117.361,796.34556,953.5471,1113.53357
121.475,740.40448,907.0654,1057.9994
125.586,723.50059,865.61353,1003.06797
129.694,697.34057,823.55804,961.8188
133.799,663.93626,779.28878,927.41061
137.9,640.3919,757.35484,899.03853
141.997,645.02001,761.17788,889.58115
146.092,650.65293,764.59691,907.0848
150.183,682.24584,809.46941,959.60164
154.27,763.74127,907.66276,1063.22337
158.355,927.33295,1113.90358,1294.00116
162.436,1229.14205,1514.27697,1727.74819
166.513,1665.30147,2087.98516,2368.99873
170.588,1953.76407,2490.04546,2796.16157
174.658,1821.60293,2285.69944,2575.94661
178.726,1386.05774,1723.88256,1933.31516
182.79,1046.43953,1270.42407,1446.89054
186.851,867.96408,1052.12099,1193.99232
190.909,785.86722,938.43828,1066.63224
194.963,727.11032,834.81282,972.26596
199.014,686.26185,785.51434,889.5681
203.062,646.2168,737.62256,836.44588
207.107,616.23411,696.17091,780.70887
211.148,597.92288,652.90824,747.50832
215.185,568.34255,626.74925,709.67916
219.22,552.84802,613.87097,680.9045
223.251,545.60451,608.2375,670.44183
227.279,545.20111,598.7787,673.45904
231.304,549.02388,610.65048,671.84847
235.325,557.87817,603.40639,679.89759
239.344,546.81116,590.72975,655.349
243.358,522.05978,563.76514,620.537
247.37,513.8091,544.84926,607.05458
251.378,506.76547,538.40936,594.1754
255.383,501.13314,540.02161,585.12267
259.385,507.97465,530.56315,583.51228
263.384,489.05876,525.3313,579.89037
267.379,497.51078,534.58817,579.28683
271.371,495.29559,517.48164,569.82713
275.36,489.66094,523.11609,573.04673
279.346,498.51584,512.04884,575.05969
283.328,485.43574,512.25026,577.47467
287.308,491.47303,514.46408,567.81586
291.284,486.04035,507.82406,573.45114
295.256,479.80092,511.04262,555.33899
299.226,483.21913,508.42363,559.36037
303.192,480.20144,506.21094,556.94657
307.155,488.65349,511.44322,571.83785
311.115,489.65928,514.86378,567.20911
315.072,502.73956,530.55999,582.30143
319.025,509.38037,540.21923,594.37529
322.976,513.00254,538.60935,604.43667
326.923,520.85089,551.48844,617.11435
330.867,535.33934,568.99521,637.43794
334.808,544.59531,578.04982,644.48004
338.745,552.84617,587.10556,652.73076
342.68,565.52419,598.77735,662.79261
346.611,579.40985,608.83959,680.30007
350.539,573.57346,613.26584,673.86004
354.464,580.81712,611.8566,668.42627
358.386,582.02602,620.10855,680.30029
362.304,587.4586,619.30299,689.55587
366.22,598.12511,643.85415,704.04558
370.132,600.33869,648.88488,711.49092
374.041,613.01639,650.89745,725.77806
377.947,632.7357,673.43364,743.08193
381.85,651.24693,703.41428,778.49473
385.75,703.16375,780.28165,858.17764
389.647,857.90257,965.19882,1070.2535
393.54,1163.93763,1378.05588,1531.58222
397.431,1426.88743,1747.00318,1927.0645
401.318,1345.81137,1594.31837,1779.81932
405.202,955.69352,1119.92732,1230.20872
409.083,726.91487,815.30131,889.57546
412.961,655.47933,713.6839,768.84409
416.836,626.50313,675.45181,741.88112
420.708,605.17148,659.55346,703.64706
424.576,593.09965,629.3714,684.33174
428.442,587.06494,621.32459,683.32822
432.304,586.2601,619.91607,668.83994
436.164,576.60012,612.87213,664.41199
440.02,584.04648,613.27539,670.24847
443.873,584.04663,612.87309,668.63882
447.723,582.03539,621.92964,673.46956
451.57,579.01708,609.05103,672.46363
455.414,586.06014,615.28911,670.25001
459.255,582.84078,613.07595,670.85411
463.093,586.26196,625.95497,677.09244
466.928,594.31075,628.97288,684.33604
470.759,594.31155,635.01065,689.97134
474.588,604.97806,641.04883,696.00955
478.414,596.92776,648.49328,709.89305
482.236,588.87802,639.03499,682.92809
486.056,558.69176,599.79361,654.9559
489.872,540.78152,571.41941,629.19808
493.686,533.33764,566.39052,599.41795
497.496,506.5737,550.49358,603.64449
501.304,509.38987,543.65033,584.32478
505.108,500.73623,538.61897,577.48234
508.909,491.07616,525.73918,571.0421
512.708,481.81942,524.33074,556.55351
516.503,483.42862,510.84717,561.58354
520.295,477.99488,512.25548,551.52147
524.085,481.01439,512.65896,551.52256
527.871,474.17258,509.23826,549.30932
531.654,474.57253,497.36261,540.25086
535.435,452.83576,491.72467,520.52636
539.212,457.06146,495.54783,524.75193
542.986,467.52742,488.30509,523.54639
546.758,470.74867,500.78327,543.67144
550.526,470.74855,511.24739,542.66513
554.291,486.24399,516.68093,557.95907
558.054,495.09952,518.69447,573.85776
561.813,504.15655,538.21574,573.0544
565.57,514.22046,555.1217,585.53322
569.323,525.28985,561.56267,605.85931
573.074,530.52284,566.9969,614.7145
576.821,536.35774,580.88105,623.36636
580.566,556.27739,602.81256,640.87035
584.307,592.69944,643.05742,698.42023
588.046,754.08199,862.99219,933.04011
591.782,1251.26847,1500.79155,1668.39602
595.515,1662.48243,2049.56282,2286.12903
599.245,1370.96781,1674.99764,1856.47225
602.971,758.10054,875.86318,963.41555
606.695,543.99675,602.20296,636.63827
610.417,516.83234,545.45796,597.19985
614.135,514.01584,548.07485,573.45541
617.85,508.17963,536.20164,580.49812
621.562,506.16504,535.99804,573.65368
625.272,502.33916,533.37944,562.78446
628.978,509.78536,532.7763,581.49952
632.682,543.59477,592.3432,629.9983
636.382,571.1679,631.18526,675.48078
640.08,559.09525,598.38607,641.67594
643.775,509.59092,540.22913,575.47031
647.467,489.26548,521.31247,553.73651
651.156,481.01337,521.71349,551.11892
654.842,477.99386,506.21732,537.83639
658.525,480.00664,516.0783,547.29485
662.206,491.47774,521.91475,551.32018
665.883,484.83648,523.92664,554.53943
669.558,475.7799,512.25402,545.48289
