wavelength_nm_reported,counts
783.748,11.82439
784.008,-0.25158
784.268,-4.27692
784.528,-0.25158
784.787,17664.87012
785.047,17309.56823
785.307,16771.04909
785.566,16447.70091
785.826,16353.59435
786.085,16512.77321
786.345,16207.42411
786.604,15938.09528
786.863,15985.15416
787.123,16151.35729
787.382,15944.10283
787.641,15400.37898
787.9,14865.58587
788.159,14421.86531
788.418,14306.66882
788.677,14792.47107
788.936,15044.86083
789.195,15108.9569
789.454,15397.37475
789.713,15179.06064
789.972,15019.82298
790.231,15318.26248
790.489,15393.36911
790.748,15249.16297
791.007,15375.34366
791.265,15718.81286
791.524,15631.69697
791.782,15236.14407
792.041,15434.42673
792.299,16291.52276
792.558,16967.24693
792.816,17048.32576
793.074,16992.27144
793.333,17480.71763
793.591,18539.48022
793.849,18809.63157
794.107,17667.87253
794.365,16282.51228
794.623,15151.01931
794.881,13886.91957
795.139,13023.21043
795.397,13727.62142
795.655,14646.23683
795.913,15144.00894
796.17,15411.39446
796.428,15743.84577
796.686,15916.0675
796.943,15895.04087
797.201,15570.61446
797.458,15395.37193
797.716,15556.59537
797.973,15750.85496
798.231,15587.63756
798.488,14976.75747
798.745,14232.54031
799.003,14411.84838
799.26,15537.56938
799.517,16399.64679
799.774,16165.37407
800.031,16057.24319
800.288,17270.53311
800.545,17786.96654
800.802,16474.73108
801.059,14484.97129
801.316,13668.50883
801.573,13520.22173
801.83,14056.2281
802.087,14583.13383
802.343,14523.03465
802.6,14550.07941
802.857,14713.3451
803.113,14405.8382
803.37,13942.02092
803.626,14518.02634
803.883,15670.74918
804.139,15986.15541
804.395,15955.11664
804.652,15966.13043
804.908,15924.07762
805.164,15680.7625
805.42,15697.78508
805.676,15889.03324
805.933,15578.62534
806.189,15687.77181
806.445,15678.75984
806.701,15454.45466
806.956,15130.98966
807.212,14738.38516
807.468,14629.20915
807.724,14759.41867
807.98,15398.37616
808.235,15304.2424
808.491,14579.12725
808.747,14051.2191
809.002,15566.60901
809.258,17901.0533
809.513,17166.43756
809.769,14617.18956
810.024,15010.80931
810.279,20524.20817
810.535,23497.8103
810.79,19033.74421
811.045,12321.65227
811.3,10892.99311
811.555,11208.85923
811.81,11022.35178
812.066,9531.88188
812.321,8000.5076
812.575,8366.86622
812.83,8973.01322
813.085,8486.29919
813.34,7937.26843
813.595,7417.24961
813.85,7056.79576
814.104,7190.3396
814.359,7345.96563
814.613,7689.31741
814.868,7678.27457
815.123,6282.52216
815.377,5680.83687
815.631,6443.21846
815.886,7283.71622
816.14,8240.40243
816.394,8533.46884
816.649,6767.59707
816.903,5965.12097
817.157,7206.40461
817.411,8247.42834
817.665,8222.33573
817.919,7971.39768
818.173,8136.01549
818.427,8307.64973
818.681,7693.33298
818.935,7924.2189
819.189,10288.24289
819.442,12752.62775
819.696,12827.7919
819.95,11476.56773
820.204,10624.23026
820.457,10861.90609
820.711,10607.18106
820.964,9607.12539
821.218,8258.46903
821.471,5981.19274
821.724,3938.37354
821.978,3675.00733
822.231,5320.16834
822.484,7518.65056
822.737,9200.78762
822.991,9777.67023
823.244,9988.3297
823.497,11106.58237
823.75,12732.58367
824.003,12751.62555
824.256,11628.96063
824.509,10058.5462
824.761,9472.68898
825.014,10454.73686
825.267,12845.83103
825.52,14484.97129
825.772,13979.08859
826.025,11284.06062
826.278,8568.59469
826.53,7445.36112
826.783,7770.63162
827.035,8325.71591
827.287,9704.43747
827.54,9786.6988
827.792,8954.95105
828.044,9117.50652
828.297,9369.34936
828.549,9864.94525
828.801,10636.26493
829.053,10762.62606
829.305,9562.98277
829.557,9789.70832
829.809,10793.7141
830.061,10852.88077
830.313,10220.03786
830.565,9667.31881
830.816,9112.48951
831.068,9508.80683
831.32,10974.21897
831.572,11622.94527
831.823,10455.73981
832.075,9425.53446
832.326,9331.22315
832.578,9799.74002
832.829,10573.08237
833.081,11248.96687
833.332,12320.64993
833.583,12665.43511
833.834,12471.99922
834.086,11985.85141
834.337,11763.30076
834.588,11537.72632
834.839,12044.99508
835.09,12363.75014
835.341,12597.28288
835.592,12771.6695
835.843,12936.02517
836.094,12851.84405
836.345,12094.11354
836.595,11841.49605
836.846,12920.99299
837.097,13589.35642
837.348,12751.62555
837.598,12262.51384
837.849,13409.00201
838.099,14452.9176
838.35,14134.36761
838.6,13694.55857
838.851,13919.98049
839.101,14342.73075
839.351,14623.19936
839.601,16859.13916
839.852,17692.89257
840.102,16348.58861
840.352,14501.99969
840.602,13767.69714
840.852,14259.58739
841.102,17051.32865
841.352,21104.26169
841.602,20562.21378
841.852,16382.62748
842.102,14658.25632
842.351,14227.53157
842.601,13859.86948
842.851,13958.05024
843.1,14407.8416
843.35,14497.99301
843.6,14724.36275
843.849,14776.44571
844.098,15028.83663
844.348,15168.04443
844.597,15240.14989
844.847,15010.80931
845.096,14824.52159
845.345,15004.80019
845.594,15222.12367
845.843,15066.89399
846.093,15163.03705
846.342,15297.23234
846.591,15170.04738
846.84,14789.46632
847.089,14771.43776
847.338,15141.0045
847.586,15060.88496
847.835,14912.65896
848.084,14828.52788
848.333,14295.64982
848.581,13250.68271
848.83,12682.47294
849.079,13259.70111
849.327,14137.37294
849.576,14590.14533
849.824,14628.20752
850.072,14102.3106
850.321,13667.50691
850.569,14150.396
850.817,15284.21362
851.066,16574.84112
851.314,16541.8051
851.562,15083.91951
851.81,14690.30808
852.058,14706.33385
852.306,14233.54206
852.554,13465.11334
852.802,12116.16647
853.05,10537.98037
853.298,10460.75454
853.546,12001.89048
853.793,13446.07567
854.041,14069.25148
854.289,14065.24429
854.536,13942.02092
854.784,14288.63771
855.031,14667.27091
855.279,14894.63105
855.526,15043.85932
855.774,14885.61705
856.021,14581.13054
856.268,14448.91087
856.516,14679.29032
856.763,14922.67443
857.01,14883.61394
857.257,14671.27738
857.504,14690.30808
857.751,14718.35313
857.998,14492.98466
858.245,14451.91592
858.492,14442.90076
858.739,14526.03964
858.986,14607.17321
859.233,14731.37396
859.48,14820.51529
859.726,14701.3258
859.973,14547.07445
860.219,14594.1519
860.466,14717.35152
860.713,14750.40433
860.959,14833.53574
861.205,14906.64967
861.452,14833.53574
861.698,14911.65741
861.945,14856.5718
862.191,14843.55144
862.437,14755.4123
862.683,14769.43459
862.929,14763.42504
863.175,14664.26605
863.421,14582.13219
863.667,14346.73761
863.913,14175.44021
864.159,14285.63252
864.405,14315.68434
864.651,13860.87134
864.897,12591.26938
865.142,11251.97492
865.388,11815.43117
865.634,13611.39905
865.879,14635.21893
866.125,14494.98801
866.37,14087.28376
866.616,14180.44903
866.861,14180.44903
867.107,14308.67227
867.352,14258.58565
867.597,13993.11409
867.843,13764.69148
868.088,13962.05755
868.333,14339.7256
868.578,14383.80081
868.823,14331.71187
869.068,14319.69123
869.313,14414.85346
869.558,14495.98968
869.803,14414.85346
870.048,14593.15026
870.293,16772.05012
870.537,21483.26047
870.782,21960.21978
871.027,17683.88538
871.272,14894.63105
871.516,14331.71187
871.761,14012.1486
872.005,14070.25328
872.25,13975.0813
872.494,13715.5986
872.738,13686.54329
872.983,13777.716
873.227,13795.74986
873.471,13772.70658
873.715,13710.58908
873.96,13687.5452
874.204,13722.61192
874.448,13742.64987
874.692,13761.68582
874.936,13927.99521
875.18,13896.93806
875.424,13807.77239
875.667,13886.91957
875.911,13846.84528
876.155,13676.52416
876.399,13764.69148
876.642,13878.90475
876.886,13793.74611
877.13,13539.25897
877.373,13491.16469
877.617,13459.10145
877.86,13318.82108
878.104,13197.57388
878.347,13202.58418
878.59,13381.94799
878.833,13494.17061
879.077,13326.83726
879.32,12897.94351
879.563,12463.9809
879.806,12688.48627
880.049,13120.4142
880.292,13386.95801
880.535,13574.32726
880.778,13253.68885
881.021,12957.07011
881.264,12965.08719
881.507,13099.37034
881.749,13386.95801
881.992,13160.49738
882.235,13014.19138
882.477,12802.73738
882.72,12781.69143
