raman_shift_reported_cm-1,counts
0.764,4356.28334
4.975,3532.24562
9.182,2972.84562
13.386,2574.45143
17.586,2225.48831
21.783,1865.02117
25.977,1537.91477
30.167,1240.35229
34.353,1008.15964
38.536,853.0229
42.716,720.81747
46.892,638.91666
51.064,576.53381
55.234,516.16241
59.399,475.71328
63.562,460.82123
67.721,428.42111
71.876,413.93153
76.028,407.49173
80.177,406.88778
84.322,415.3392
88.464,426.0055
92.602,440.09191
96.737,460.2162
100.868,476.11361
104.997,490.60197
109.121,509.92102
113.243,527.2273
117.361,531.45213
121.475,545.13557
125.586,561.03242
129.694,573.10599
133.799,574.11174
137.9,597.25302
141.997,617.77848
146.092,632.46685
150.183,641.52231
154.27,655.60781
158.355,682.57341
162.436,705.71508
166.513,718.38876
170.588,723.61919
174.658,752.3937
178.726,756.61725
182.79,771.90991
186.851,789.81655
190.909,841.93141
194.963,891.22834
199.014,933.885
203.062,968.49119
207.107,947.1632
211.148,940.12172
215.185,894.84984
219.22,853.19898
223.251,820.60325
227.279,776.9375
231.304,762.24758
235.325,747.15622
239.344,745.34621
243.358,743.53554
247.37,740.51706
251.378,734.47976
255.383,753.80035
259.385,744.14101
263.384,741.72666
267.379,749.97694
271.371,733.0719
275.36,738.30355
279.346,749.5728
283.328,763.25609
287.308,784.38455
291.284,799.67833
295.256,773.92039
299.226,756.61102
303.192,723.81336
307.155,726.02711
311.115,722.60577
315.072,725.82542
319.025,728.44146
322.976,728.2402
326.923,745.74681
330.867,770.29522
334.808,813.1536
338.745,867.07985
342.68,916.98132
346.611,942.93876
350.539,928.45043
354.464,913.35864
358.386,914.76955
362.304,928.65213
366.22,958.23221
370.132,975.73749
374.041,940.52629
377.947,873.52114
381.85,829.25176
385.75,815.57023
389.647,809.53522
393.54,821.60838
397.431,810.13574
401.318,814.16076
405.202,846.56067
409.083,870.3091
412.961,940.33088
416.836,1064.47756
420.708,1189.42112
424.576,1176.54849
428.442,1069.91557
432.304,935.91012
436.164,874.53828
440.02,863.27128
443.873,851.8021
447.723,876.15106
451.57,935.10749
455.414,1088.83149
459.255,1306.12745
463.093,1337.11157
466.928,1129.27365
470.759,928.66987
474.588,841.94705
478.414,799.68932
482.236,780.17019
486.056,760.04624
489.872,755.01514
493.686,756.02388
497.496,758.64062
501.304,771.31594
505.108,770.30914
508.909,793.24739
512.708,842.74785
516.503,925.84885
520.295,1104.11911
524.085,1447.76137
527.871,2000.97576
531.654,2582.64161
535.435,2691.62432
539.212,2277.71825
542.986,1721.54713
546.758,1353.19567
550.526,1138.31919
554.291,1020.21265
558.054,951.80362
561.813,894.05783
565.57,860.25696
569.323,841.14337
573.074,818.60794
576.821,805.92947
580.566,785.19968
584.307,812.36289
588.046,804.11066
591.782,791.63441
595.515,773.1202
599.245,741.12268
602.971,730.25649
606.695,735.28902
610.417,760.44497
614.135,829.8673
617.85,989.83196
621.562,1123.42764
625.272,1086.40106
628.978,892.43771
632.682,773.11939
636.382,737.5087
640.08,734.49215
643.775,710.54584
647.467,697.66669
651.156,682.57273
654.842,682.37014
658.525,680.96213
662.206,672.5114
665.883,670.69976
669.558,677.33898
673.23,690.21536
676.899,696.85598
680.565,703.29834
684.228,686.19362
687.888,664.45934
691.545,653.39208
695.2,650.77775
698.852,656.41296
702.501,656.81631
706.147,668.28436
709.79,719.99735
713.43,845.55696
717.068,1073.53155
720.702,1154.21607
724.334,992.85042
727.963,781.77368
731.589,678.94822
735.213,634.07294
738.833,630.85154
742.451,626.82609
746.066,622.80192
749.678,608.11342
753.287,593.82672
756.894,597.04622
760.498,593.62422
764.098,586.58101
767.697,583.76391
771.292,589.19633
774.884,641.71733
778.474,728.84663
782.061,760.24007
785.645,671.70153
789.227,587.58683
792.805,575.1097
796.381,570.68295
799.954,572.29441
803.525,560.01733
807.092,556.59378
810.657,551.1617
814.219,554.38221
817.779,540.09414
821.335,539.08761
824.889,551.9668
828.44,555.38822
831.989,538.28364
835.534,548.54627
839.077,547.13659
842.617,558.20525
846.155,557.8034
849.689,549.55027
853.221,543.10998
856.751,533.45131
860.277,526.81152
863.801,532.6478
867.322,529.62971
870.841,529.83122
874.356,533.25228
877.869,532.84962
881.38,514.73777
884.887,510.91472
888.392,515.74267
891.895,515.94492
895.394,519.567
898.891,545.12274
902.385,606.90051
905.877,664.04981
909.366,649.76176
912.852,583.75823
916.335,532.04263
919.816,517.75488
923.294,511.92024
926.77,508.49934
930.243,512.32249
933.713,505.48145
937.181,505.27879
940.646,503.06588
944.108,516.74977
947.568,523.39019
951.025,544.11789
954.479,562.02791
957.931,575.71321
961.38,548.54544
964.826,526.4092
968.27,523.59145
971.711,522.78565
975.15,533.65315
978.586,532.44688
982.019,538.28263
985.45,540.09267
988.878,557.1975
992.304,568.46561
995.727,602.27249
999.147,643.52354
1002.565,654.79301
1005.98,637.48764
1009.393,604.08453
1012.803,576.92107
1016.21,557.00138
1019.615,560.42227
1023.017,546.1328
1026.417,552.97348
1029.814,551.76531
1033.209,563.23541
1036.601,588.99347
1039.99,615.15167
1043.377,673.70795
1046.761,727.63507
1050.143,744.33783
1053.522,733.67112
1056.899,718.37954
1060.273,693.42939
1063.644,645.53722
1067.013,616.55942
1070.38,600.05861
1073.743,573.49628
1077.105,566.65534
1080.464,562.63015
1083.82,562.22834
1087.174,567.86237
1090.525,558.80743
1093.874,561.22193
1097.22,580.5404
1100.564,595.63184
1103.905,601.46679
1107.243,611.5279
1110.579,631.45045
1113.913,642.51802
1117.244,628.43169
1120.573,622.19299
1123.899,625.61446
1127.223,614.34547
1130.544,619.37601
1133.862,615.75386
1137.179,609.11375
1140.492,614.54763
1143.804,613.13869
1147.112,619.57779
1150.418,610.72325
1153.722,619.1754
1157.024,633.86517
1160.322,636.48074
1163.619,657.00739
1166.913,665.05607
1170.204,672.50195
1173.493,682.16093
1176.78,675.72335
1180.064,677.13371
1183.345,678.94495
1186.624,695.64428
1189.901,697.45408
1193.175,703.89166
1196.447,727.43412
1199.717,753.79542
1202.984,797.46037
1206.248,846.55596
1209.51,876.73777
1212.77,929.25413
1216.027,996.25792
1219.282,1022.21278
1222.534,1041.72783
1225.784,1032.07137
1229.032,1009.33493
1232.277,994.44584
1235.52,948.97171
1238.76,894.44233
1241.998,849.37197
1245.234,830.05614
1248.467,838.10506
1251.698,867.07962
1254.926,913.55859
1258.152,1012.75618
1261.375,1128.44682
1264.597,1206.91421
1267.815,1190.21469
1271.032,1100.68238
1274.246,1012.35501
1277.457,968.28843
1280.667,954.60861
1283.874,943.7438
1287.078,966.27954
1290.28,1014.97205
1293.48,1062.85814
1296.678,1156.01402
1299.873,1356.40256
1303.065,1624.17057
1306.256,1922.89583
1309.444,2061.08384
1312.629,1891.9182
1315.813,1581.12014
1318.994,1362.63793
1322.172,1291.01327
1325.349,1263.65358
1328.522,1276.12504
1331.694,1322.99995
1334.863,1408.30236
1338.03,1539.47932
1341.195,1597.81891
1344.357,1525.1956
1347.517,1435.66914
1350.675,1361.83489
1353.83,1322.80544
1356.983,1313.74972
1360.134,1335.47959
1363.282,1361.43311
1366.428,1393.62463
1369.572,1401.4706
1372.713,1419.17425
1375.853,1420.98366
1378.989,1449.55178
1382.124,1464.43582
1385.256,1449.55226
1388.386,1462.82886
1391.514,1435.87157
1394.639,1409.92164
1397.762,1350.1662
1400.883,1303.89307
1404.002,1285.18438
1407.118,1280.75894
1410.232,1281.96491
1413.344,1280.3542
1416.453,1275.12398
1419.56,1265.46636
1422.665,1275.72956
1425.768,1266.0713
1428.868,1297.2557
1431.966,1295.04435
1435.062,1295.04568
1438.156,1302.89382
1441.247,1289.21141
1444.336,1274.52378
1447.423,1271.50603
1450.508,1270.50048
1453.59,1267.07945
1456.67,1241.72715
1459.748,1233.0786
1462.824,1219.59964
1465.897,1209.74325
1468.968,1203.90498
1472.037,1201.89256
1475.104,1194.44765
1478.169,1171.10768
1481.231,1145.9599
1484.291,1132.07777
1487.349,1124.63388
1490.404,1118.39688
1493.458,1089.42189
1496.509,1102.09894
1499.558,1091.83679
1502.605,1098.67909
1505.649,1093.44688
1508.692,1098.07548
1511.732,1090.4293
1514.77,1083.18947
1517.806,1088.8223
1520.839,1088.21817
1523.871,1094.65837
1526.9,1094.05534
1529.927,1113.77723
1532.952,1119.41181
1535.974,1099.49025
1538.995,1086.00893
1542.013,1074.74462
1545.029,1053.8208
1548.043,1042.15205
1551.055,1038.53234
1554.064,1028.27047
1557.072,1026.66216
1560.077,1022.23636
1563.08,1016.8032
1566.081,1027.46711
1569.08,1057.65004
1572.077,1135.11767
1575.071,1240.54546
1578.063,1340.941
1581.053,1404.72006
1584.041,1342.95537
1587.027,1214.18684
1590.011,1076.36206
1592.993,1005.93954
1595.972,974.14799
1598.949,960.0659
1601.925,958.65842
1604.898,937.53157
1607.869,930.08284
1610.837,943.56316
1613.804,944.97236
1616.769,953.62664
1619.731,967.1087
1622.691,992.66247
1625.649,1032.09952
1628.605,1072.74318
1631.559,1114.79585
1634.511,1142.56162
1637.461,1159.26262
1640.409,1142.15927
1643.354,1122.24027
1646.297,1090.45105
1649.239,1039.34352
1652.178,998.29372
1655.115,975.15277
1658.05,956.63848
1660.983,945.77116
1663.914,963.27774
1666.843,1005.53445
1669.769,1078.37241
1672.694,1180.58076
1675.616,1273.53572
1678.537,1334.70166
1681.455,1312.97226
1684.371,1245.77247
1687.286,1136.92257
1690.198,1043.1638
1693.108,983.80734
1696.016,938.53418
1698.922,897.08458
1701.825,862.47617
1704.727,844.16606
1707.627,825.65173
1710.525,820.6205
1713.42,797.28043
1716.314,789.83479
1719.205,766.09008
1722.095,753.01103
1724.982,741.94387
1727.867,739.1265
1730.751,733.49189
1733.632,721.6199
1736.511,715.78426
1739.389,712.16116
1742.264,710.34981
1745.137,707.13079
1748.008,710.14896
1750.877,708.13564
1753.744,705.92203
1756.609,709.74598
1759.472,703.91206
1762.333,697.26973
1765.192,697.47052
1768.049,684.79284
1770.904,697.27024
1773.757,700.08919
1776.608,692.04013
1779.457,688.01565
1782.304,687.81371
1785.148,673.32418
1787.991,671.11044
1790.832,665.47617
1793.671,666.28134
1796.508,661.25133
1799.343,654.61084
1802.176,660.84963
1805.007,665.07554
1807.835,658.83618
1810.662,655.61659
1813.487,637.10296
1816.31,644.14527
1819.131,649.17648
1821.95,644.14667
1824.767,645.95836
1827.582,637.50708
1830.395,639.31757
1833.206,630.86489
1836.016,627.84657
1838.823,631.87132
1841.628,608.72773
1844.431,616.17347
1847.232,617.18002
1850.032,607.72197
1852.829,604.50252
1855.624,595.84867
1858.418,580.75428
1861.209,580.35212
1863.999,583.17045
1866.787,591.42156
1869.572,579.75034
1872.356,584.3791
1875.138,577.53709
1877.917,578.54344
1880.695,573.5115
1883.471,565.25981
1886.245,566.66904
1889.017,566.86992
1891.787,574.31685
1894.556,572.30545
1897.322,569.28665
1900.086,569.28683
1902.849,568.68413
1905.609,563.25052
1908.368,565.86562
1911.124,566.26824
1913.879,555.80398
1916.632,548.55941
1919.383,542.32099
1922.132,540.7114
1924.879,540.51042
1927.624,535.47927
1930.367,531.25369
1933.109,517.16618
1935.848,508.91498
1938.586,511.33058
1941.321,503.68403
1944.055,511.93525
1946.787,506.09979
1949.517,489.79929
1952.245,488.18934
1954.971,485.37235
1957.695,493.62313
1960.418,478.53019
1963.138,473.90211
1965.857,470.68208
1968.574,458.40637
1971.289,462.02868
1974.002,449.14945
1976.713,449.14934
1979.422,440.69668
1982.13,435.66581
1984.835,425.80498
1987.539,423.79259
1990.241,411.51696
1992.941,410.51065
1995.639,408.49764
1998.335,402.66162
2001.029,397.42963
2003.722,394.81316
2006.412,390.58748
2009.101,379.71982
2011.788,383.14112
2014.473,377.70734
2017.156,372.67686
2019.838,372.4752
2022.517,374.28646
2025.195,364.42509
2027.871,360.1992
2030.545,365.02938
2033.217,359.59546
2035.887,361.20529
2038.556,353.55799
2041.223,352.95418
2043.887,347.72171
2046.55,351.74662
2049.212,343.49541
2051.871,341.88572
2054.529,338.26334
2057.184,340.47662
2059.838,329.81056
2062.49,332.62801
2065.14,327.59711
2067.789,325.3828
2070.436,328.40184
2073.08,324.77934
2075.723,321.35818
2078.365,316.12556
2081.004,316.52811
2083.642,310.49044
2086.277,307.67277
2088.911,308.88054
2091.544,310.08824
2094.174,296.80569
2096.803,300.42786
2099.429,302.03802
2102.054,298.21434
2104.678,296.00071
2107.299,292.37802
2109.919,287.34707
2112.537,291.57334
2115.153,281.91318
2117.767,282.51683
2120.379,280.70545
