USB4F00653_1:101,
345.24,-1572.82935
345.458,-1572.82935
345.676,-1572.82935
345.894,-1592.08264
346.113,-1619.90072
346.331,-467.14966
346.549,-378.36167
346.767,1545.7568
346.986,-604.69853
347.204,1660.44848
347.422,443.04666
347.64,-589.8773
347.858,-219.98069
348.077,482.93544
348.295,-763.62613
348.513,-613.16871
348.731,-524.26457
348.949,1318.25863
349.167,201.37378
349.385,2824.89117
349.603,866.58573
349.821,230.81746
350.039,499.72744
350.257,-274.862
350.475,-755.14395
350.693,-479.83934
350.911,-791.19798
351.129,-312.87164
351.347,-171.45274
351.565,745.09479
351.783,518.61613
352.001,-680.95413
352.219,2280.79817
352.437,-683.07311
352.655,501.8263
352.873,866.58573
353.091,2064.49516
353.308,1608.32405
353.526,636.09173
353.744,1063.2928
353.962,841.45726
354.18,-545.42569
354.398,-496.76115
354.615,1243.0607
354.833,547.99372
355.051,659.15652
355.269,-755.14395
355.486,636.09173
355.704,-524.26457
355.922,-975.90945
356.139,-585.64304
356.357,85.63928
356.575,1270.21909
356.792,-1037.55612
357.01,820.51386
357.228,1126.02349
357.445,2434.58843
357.663,11.93676
357.88,594.14675
358.098,996.3547
358.316,-611.0511
358.533,424.14812
358.751,-1005.66506
358.968,1000.53911
359.186,-51.27062
359.403,-1082.22124
359.621,1322.43538
359.838,1347.49393
360.056,-95.53468
360.273,1972.92143
360.491,-243.19663
360.708,-412.17751
360.925,1405.95078
361.143,-55.48557
361.36,-971.65938
361.578,822.60832
361.795,1493.60222
362.012,535.40404
362.23,-937.66541
362.447,654.96318
362.664,994.26246
362.882,-1137.54976
363.099,1251.41757
363.316,948.2265
363.533,1856.31837
363.751,-460.80535
363.968,-873.95791
364.185,-298.08866
364.402,2004.14393
364.62,-954.66094
364.837,669.63936
365.054,-562.35751
365.271,-543.3094
365.488,545.89551
365.705,405.24709
365.923,-600.46368
366.14,329.61771
366.357,-956.78558
366.574,1057.01847
366.791,-340.33071
367.008,778.61882
367.225,608.82882
367.442,-929.16874
367.659,-513.68553
367.876,392.645
368.093,818.41937
368.31,-101.8594
368.527,724.13863
368.744,1700.05409
368.961,522.81329
369.178,-827.2646
369.395,1391.33828
369.612,2968.00364
369.829,-878.20383
370.046,-697.9072
370.263,-272.75071
370.479,1071.65821
370.696,667.54285
370.913,-481.95443
371.13,-437.54596
371.347,1082.1144
371.564,1195.00119
371.78,459.84328
371.997,1716.72784
372.214,-407.94998
372.431,1572.8717
372.647,958.69033
372.864,-585.64304
373.081,2180.99063
373.297,508.12271
373.514,-680.95413
373.731,2135.23151
373.948,1257.68496
374.164,-999.2881
374.381,-520.03284
374.597,615.1207
374.814,946.13365
375.031,-325.54425
375.247,-992.91155
375.464,102.4797
375.68,793.28334
375.897,2579.98023
376.113,155.09209
376.33,879.14851
376.546,-575.05809
376.763,1293.1961
376.979,-890.94263
377.196,142.46703
377.412,438.8472
377.629,1847.98719
377.845,-139.81451
378.062,-524.26457
378.278,-583.52597
378.495,-712.74337
378.711,39.3169
378.927,543.79728
379.144,753.47647
379.36,-1052.4422
379.576,-839.99702
379.793,1034.01063
380.009,684.31414
380.225,1814.65921
380.442,977.52358
380.658,1324.52373
380.874,1289.01868
381.09,-207.31935
381.307,996.3547
381.523,2613.20136
381.739,-340.33071
381.955,-0.7022
382.171,-914.3013
382.388,1161.56083
382.604,-507.33859
382.82,1117.66071
383.036,-524.26457
383.252,287.58372
383.468,795.37816
383.684,-1009.9166
383.9,780.71384
384.116,-95.53468
384.332,-446.00337
384.549,-112.40132
384.765,1925.0384
384.981,195.06358
385.197,740.90379
385.413,667.54285
385.629,159.30018
385.844,-492.53046
386.06,1447.69457
386.276,-655.52957
386.492,709.46764
386.708,1570.78607
386.924,243.43422
387.14,-4.91546
387.356,1395.51339
387.572,948.2265
387.788,562.68033
388.003,-927.04468
388.219,-803.92593
388.435,-367.79626
388.651,-585.64304
388.867,-429.08918
389.082,77.21826
389.298,-621.63955
389.514,-129.27025
389.73,-376.24851
389.945,-984.41013
390.161,-498.87656
390.377,-424.86102
390.593,354.83202
390.808,-298.08866
391.024,906.36452
391.239,-272.75071
391.455,644.47933
391.671,789.09362
391.886,-314.98365
392.102,1541.58495
392.318,-748.78277
392.533,-893.06592
392.749,-520.03284
392.964,-422.74701
393.18,-899.43606
393.395,-893.06592
393.611,354.83202
393.826,-312.87164
394.042,-570.8244
394.257,-893.06592
394.473,1572.8717
394.688,3881.17391
394.904,-848.48618
395.119,-391.04144
395.334,1481.08304
395.55,854.02198
395.765,380.0418
395.98,312.80565
396.196,-285.419
396.411,390.54455
396.626,-232.64337
396.842,-384.70138
397.057,-416.40519
397.272,1652.10947
397.488,-619.52177
397.703,-719.10237
397.918,-363.57037
398.133,730.42578
398.349,-839.99702
398.564,-893.06592
398.779,847.73974
398.994,-148.25057
399.209,2685.85831
399.425,-850.60858
399.64,216.09642
399.855,274.97103
400.07,-323.43206
400.285,931.48298
400.5,-38.62662
400.715,948.2265
400.93,432.54778
