USB4F00653_1:101,
345.24,-1508.32687
345.458,-1508.32687
345.676,-1508.32687
345.894,-1529.70352
346.113,-1465.58943
346.331,-230.18108
346.549,-249.17722
346.767,892.05923
346.986,-181.64903
347.204,623.85898
347.422,-34.06104
347.64,-185.86843
347.858,50.19713
348.077,37.56194
348.295,-432.96512
348.513,-348.42885
348.731,52.30287
348.949,451.79514
349.167,2810.71435
349.385,6387.67238
349.603,5258.7405
349.821,4939.04343
350.039,5374.19896
350.257,5027.75249
350.475,4771.89914
350.693,5044.25487
350.911,5345.33651
351.129,5722.50066
351.347,5979.99687
351.565,6173.56912
351.783,6251.80653
352.001,6192.09981
352.219,7442.91568
352.437,6192.09981
352.655,6809.52347
352.873,7261.99462
353.091,7851.90921
353.308,7788.20865
353.526,7592.96986
353.744,8116.93943
353.962,8071.7457
354.18,7555.97253
354.398,8147.75212
354.615,9110.67878
354.833,9205.0745
355.051,9180.45036
355.269,9065.52996
355.486,10078.85743
355.704,10050.15302
355.922,9908.66997
356.139,10435.54778
356.357,11502.85829
356.575,12045.32392
356.792,11529.47623
357.01,11971.64664
357.228,13350.20678
357.445,14555.51117
357.663,13544.37163
357.88,13799.79847
358.098,14973.995
358.316,14304.34547
358.533,15545.33446
358.751,14863.77534
358.968,17335.16545
359.186,16866.54004
359.403,17526.64637
359.621,18276.04615
359.838,19497.23168
360.056,19055.65173
360.273,20888.69344
360.491,20579.52171
360.708,21966.65065
360.925,22444.61907
361.143,22871.76796
361.36,22550.38614
361.578,24924.98562
361.795,25682.55954
362.012,25550.15768
362.23,25091.94331
362.447,27056.35194
362.664,27835.80114
362.882,26919.70867
363.099,28900.01359
363.316,29894.06338
363.533,30528.85923
363.751,31369.36113
363.968,30959.22413
364.185,32913.90532
364.402,35978.13173
364.62,35748.66111
364.837,34662.55567
365.054,32471.91161
365.271,32465.74657
365.488,32784.35682
365.705,32498.62751
365.923,32348.62285
366.14,33296.54841
366.357,33496.19846
366.574,33457.08634
366.791,33333.59169
367.008,33224.52657
367.225,33380.9282
367.442,32494.51729
367.659,33545.60703
367.876,32883.05787
368.093,33076.39526
