USB4F00653_1:101,
345.24,-2233.28113
345.458,-2233.28113
345.676,-2233.28113
345.894,-2179.37263
346.113,-2097.50735
346.331,-246.36278
346.549,-389.98474
346.767,1511.33634
346.986,-480.89688
347.204,1442.4771
347.422,90.90215
347.64,-447.06059
347.858,-33.35866
348.077,130.893
348.295,-648.11522
348.513,-629.05208
348.731,-322.37597
348.949,1093.61548
349.167,84.58668
349.385,3006.36257
349.603,626.65512
349.821,-58.64688
350.039,183.49411
350.257,-54.43182
350.475,-819.83808
350.693,-197.82421
350.911,-347.72464
351.129,-29.14445
351.347,143.51916
351.565,538.55156
351.783,385.29327
352.001,-561.2992
352.219,2154.99222
352.437,-442.83176
352.655,145.62341
352.873,660.20483
353.091,1849.02861
353.308,1317.21442
353.526,336.97236
353.744,765.00055
353.962,695.84334
354.18,-713.80318
354.398,-311.81565
354.615,972.29234
354.833,328.56702
355.051,473.48909
355.269,-442.83176
355.486,530.15802
355.704,-62.86208
355.922,-747.72261
356.139,-250.58446
356.357,191.90837
356.575,607.78015
356.792,-1038.61934
357.01,555.3372
357.228,712.61154
357.445,2568.55951
357.663,-199.93418
357.88,263.40838
358.098,894.85061
358.316,-457.63334
358.533,189.80485
358.751,-609.99231
358.968,700.03556
359.186,303.34796
359.403,-1057.75921
359.621,976.47734
359.838,924.15716
360.056,210.83852
360.273,1803.20151
360.491,-142.97797
360.708,44.58164
360.925,1269.17462
361.143,-153.52341
361.36,-821.95989
361.578,630.84924
361.795,1367.32956
362.012,383.19271
362.23,-915.36319
362.447,399.99635
362.664,819.46662
362.882,-1068.39411
363.099,1221.12209
363.316,892.75708
363.533,1588.51322
363.751,-335.04962
363.968,-423.80401
364.185,-71.2929
364.402,1907.33986
364.62,-847.42499
364.837,435.69752
365.054,-379.41826
365.271,-229.47757
365.488,233.97176
365.705,233.97176
365.923,-434.37459
366.14,353.78152
366.357,-764.68645
366.574,614.07207
366.791,-35.46582
367.008,647.62456
367.225,469.29052
367.442,-491.47281
367.659,-216.81523
367.876,458.79355
368.093,540.64987
368.31,-722.28201
368.527,492.38118
368.744,1379.85623
368.961,208.7353
369.178,-491.47281
369.395,970.19979
369.612,3093.4297
369.829,-571.88281
370.046,-297.0328
370.263,-75.50852
370.479,978.56981
370.696,446.19618
370.913,1323.47956
371.13,-170.398
371.347,867.63267
371.564,936.71551
371.78,441.99681
371.997,1457.08567
372.214,-52.32435
372.431,1471.69312
372.647,942.99433
372.864,-267.47266
373.081,2277.67981
373.297,187.70131
373.514,982.75466
373.731,2310.94026
373.948,1070.61256
374.164,-747.72261
374.381,-193.60439
374.597,477.68755
374.814,1350.62602
375.031,-252.69535
375.247,-656.58881
375.464,219.25106
375.68,649.72134
375.897,2587.24771
376.113,124.57946
376.33,760.81007
376.546,-288.58629
376.763,1183.50678
376.979,-514.74339
377.196,187.70131
377.412,372.68941
377.629,1803.20151
377.845,-311.81565
378.062,-210.48456
378.278,-307.59179
378.495,-271.69508
378.711,23.52138
378.927,326.46561
379.144,584.70752
379.36,-1015.23128
379.576,-436.48882
379.793,871.82034
380.009,574.21878
380.225,1832.36535
380.442,836.22166
380.658,1122.88749
380.874,1016.22971
381.09,-197.82421
381.307,867.63267
381.523,2593.47681
381.739,55.11048
381.955,27.73371
382.171,-819.83808
382.388,479.78673
382.604,-46.00213
382.82,926.25029
383.036,-193.60439
383.252,191.90837
383.468,492.38118
383.684,-779.53207
383.9,597.29303
384.116,74.06024
384.332,-172.50749
384.549,-109.23865
384.765,1861.5252
384.981,246.58823
385.197,168.7679
385.413,435.69752
385.629,82.48146
385.844,-151.41425
386.06,1329.74448
