USB4F00653_1:101,
345.24,-1125.04483
345.458,-1125.04483
345.676,-1125.04483
345.894,-1151.22726
346.113,-1108.65788
346.331,-131.43175
346.549,-224.67628
346.767,678.81126
346.986,-13.81644
347.204,133.15527
347.422,-185.00696
347.64,-4.33613
347.858,54.6367
348.077,-85.4685
348.295,-181.63145
348.513,-6.23214
348.731,-36.36137
348.949,241.90976
349.167,5697.58678
349.385,10968.94339
349.603,10307.86701
349.821,10165.80315
350.039,10707.51252
350.257,10467.33322
350.475,10444.78803
350.693,10973.2454
350.911,11244.44212
351.129,11941.78202
351.347,12342.8636
351.565,12665.87029
351.783,12861.99958
352.001,13431.57293
352.219,13689.4785
352.437,13730.14104
352.655,14264.12982
352.873,14710.89576
353.091,15254.00364
353.308,15309.50409
353.526,15519.23921
353.744,16639.31775
353.962,16447.71331
354.18,16877.15379
354.398,17728.91393
354.615,18830.77517
354.833,18905.471
355.051,19129.54257
355.269,19241.46803
355.486,20744.90696
355.704,21444.1703
355.922,21852.16124
356.139,22593.32065
356.357,24044.6759
356.575,24604.77795
356.792,25472.57299
357.01,25655.28026
357.228,27426.42285
357.445,28799.67679
357.663,28736.528
357.88,28718.34046
358.098,31484.26398
358.316,30723.32537
358.533,33376.21153
358.751,32136.64215
358.968,36147.93653
359.186,36065.62122
359.403,38027.43729
359.621,38466.61965
359.838,40659.82255
360.056,40598.27839
360.273,43058.74414
360.491,44049.12938
360.708,46931.14675
360.925,46192.27881
361.143,48920.11767
361.36,49205.71523
361.578,52654.35622
361.795,52813.4213
362.012,54168.28632
362.23,54711.79183
362.447,56715.05523
362.664,57741.59208
362.882,57895.33278
363.099,59870.67312
363.316,61792.84642
363.533,62461.30954
363.751,65469.89513
363.968,65410.53143
364.185,65469.89513
364.402,65469.89513
364.62,65469.89513
364.837,65469.89513
365.054,65469.89513
365.271,65469.89513
365.488,65469.89513
365.705,65469.89513
365.923,65469.89513
366.14,65469.89513
366.357,65469.89513
366.574,65469.89513
366.791,65469.89513
367.008,65469.89513
367.225,65469.89513
367.442,65469.89513
367.659,65469.89513
