USB4F00653_1:101,
345.24,-352.65419
345.458,-352.65419
345.676,-352.65419
345.894,-344.20366
346.113,-397.0296
346.331,81.77971
346.549,31.24388
346.767,172.27428
346.986,5.96852
347.204,119.66872
347.422,-171.10116
347.64,-137.35411
347.858,-95.18331
348.077,18.60682
348.295,224.85914
348.513,-82.53488
348.731,-168.9917
348.949,102.83052
349.167,149.13041
349.385,428.698
349.603,-0.3511
349.821,52.30287
350.039,92.30554
350.257,214.34381
350.475,-17.20495
350.693,5.96852
350.911,111.24989
351.129,39.66789
351.347,199.62097
351.565,-2.45771
351.783,168.06661
352.001,125.98249
352.219,256.40024
352.437,-95.18331
352.655,128.08702
352.873,369.8884
353.091,58.6199
353.308,237.47645
353.526,187.00012
353.744,229.06504
353.962,220.6531
354.18,10.18143
354.398,27.03166
354.615,302.64737
354.833,117.56406
355.051,205.93096
355.269,58.6199
355.486,111.24989
355.704,104.93541
355.922,-34.06104
356.139,12.28783
356.357,102.83052
356.575,233.27081
356.792,18.60682
357.01,94.4106
357.228,-12.99128
357.445,300.54556
357.663,92.30554
357.88,182.7929
358.098,142.81774
358.316,98.62063
358.533,155.44277
358.751,98.62063
358.968,33.34993
359.186,-31.95391
359.403,43.87969
359.621,165.96272
359.838,226.9621
360.056,62.83109
360.273,187.00012
360.491,155.44277
360.708,342.57563
360.925,201.72433
361.143,-25.63272
361.36,43.87969
361.578,357.28317
361.795,151.23456
362.012,157.54683
362.23,199.62097
362.447,151.23456
362.664,260.60516
362.882,100.72559
363.099,336.27193
363.316,453.8947
363.533,413.99788
363.751,338.3732
363.968,432.89775
364.185,315.25753
364.402,887.87208
364.62,590.30121
364.837,542.04873
365.054,302.64737
365.271,201.72433
365.488,189.10368
365.705,233.27081
365.923,27.03166
366.14,85.99015
366.357,-23.52572
366.574,262.70758
366.791,220.6531
367.008,205.93096
367.225,-23.52572
367.442,-25.63272
367.659,90.20044
367.876,-21.41876
368.093,134.40039
368.31,-6.67103
368.527,180.68924
368.744,161.75484
368.961,208.03422
369.178,35.45595
369.395,319.46067
369.612,311.05427
369.829,71.25304
370.046,81.77971
370.263,189.10368
370.479,191.2072
370.696,24.9255
370.913,115.45937
371.13,178.58555
371.347,199.62097
371.564,147.02622
371.78,5.96852
371.997,67.04213
372.214,140.71345
372.431,195.41415
372.647,138.60913
372.864,172.27428
373.081,172.27428
373.297,77.56915
373.514,77.56915
373.731,109.1451
373.948,332.06931
374.164,12.28783
374.381,73.35844
374.597,302.64737
374.814,83.88495
375.031,69.1476
375.247,-19.31184
375.464,31.24388
375.68,-44.59724
375.897,279.52575
376.113,187.00012
376.33,94.4106
376.546,102.83052
376.763,104.93541
376.979,5.96852
377.196,132.29596
377.412,203.82766
377.629,102.83052
377.845,69.1476
378.062,203.82766
378.278,77.56915
378.495,153.33868
378.711,37.56194
378.927,252.19518
379.144,237.47645
379.36,29.13779
379.576,-8.77774
379.793,210.13745
380.009,247.98999
380.225,247.98999
380.442,262.70758
380.658,336.27193
380.874,161.75484
381.09,54.40859
381.307,229.06504
381.523,346.77795
381.739,136.50477
381.955,233.27081
382.171,52.30287
382.388,104.93541
382.604,-44.59724
382.82,168.06661
383.036,-2.45771
383.252,138.60913
383.468,397.19589
383.684,153.33868
383.9,208.03422
384.116,241.68197
384.332,-10.88449
384.549,203.82766
384.765,296.34185
384.981,153.33868
385.197,142.81774
